23,53,5,0
77,42,36,1
3,32,52,2
61,72,52,2
21,51,90,4
74,28,10,0
29,71,74,3
44,50,50,2
19,2,5,0
57,2,66,3
1,46,35,1
92,43,12,0
44,36,63,3
84,75,15,0
47,48,62,3
66,60,50,2
78,100,72,3
62,47,26,1
82,54,27,1
99,16,77,3
60,11,25,1
88,43,69,3
86,15,48,2
23,63,68,3
97,77,15,0
79,52,15,0
5,44,27,1
45,89,89,4
87,94,50,2
34,41,67,3
32,20,69,3
90,22,87,4
92,89,26,1
4,70,5,0
7,29,9,0
12,38,100,4
19,26,27,1
17,7,11,0
11,77,50,2
80,57,14,0
49,12,31,1
58,74,26,1
86,37,48,2
38,21,36,1
20,76,32,1
1,65,14,0
82,77,7,0
10,49,30,1
22,21,100,4
0,44,29,1
99,4,52,2
60,3,14,0
54,66,24,1
29,43,98,4
11,53,76,3
63,100,9,0
8,97,87,4
25,23,97,4
36,83,79,3
21,20,34,1
59,21,69,3
11,25,34,1
40,12,92,4
69,58,100,4
98,7,73,3
21,0,66,3
74,61,69,3
78,84,78,3
29,97,29,1
27,63,34,1
75,2,63,3
35,46,13,0
1,66,87,4
49,60,50,2
57,42,70,3
58,76,11,0
49,97,13,0
36,39,67,3
84,89,87,4
24,51,89,4
53,89,48,2
85,49,51,2
39,64,98,4
93,74,36,1
1,20,68,3
28,34,51,2
94,65,31,1
71,39,24,1
46,43,96,4
31,90,61,3
55,49,33,1
54,87,48,2
64,91,5,0
87,57,87,4
46,83,7,0
19,83,85,4
30,80,30,1
76,55,63,3
48,64,97,4
1,71,5,0
22,20,97,4
22,29,14,0
43,79,30,1
71,52,96,4
50,33,51,2
48,94,25,1
22,4,49,2
73,20,13,0
75,11,100,4
87,18,61,3
61,49,15,0
31,20,52,2
84,11,32,1
29,34,49,2
87,87,48,2
74,97,7,0
62,48,72,3
54,82,90,4
56,40,15,0
88,37,61,3
63,60,31,1
92,50,50,2
53,70,15,0
61,59,32,1
32,84,34,1
47,82,48,2
26,97,14,0
21,59,50,2
9,55,48,2
58,55,25,1
2,32,14,0
69,86,79,3
13,50,61,3
2,95,52,2
17,37,36,1
38,57,15,0
29,64,85,4
2,13,13,0
53,23,87,4
75,58,29,1
25,14,74,3
93,36,48,2
99,75,88,4
19,35,69,3
13,13,48,2
96,66,100,4
45,89,51,2
14,42,11,0
4,96,65,3
82,49,15,0
17,76,8,0
16,85,48,2
50,35,11,0
3,28,50,2
20,77,24,1
86,67,11,0
68,38,7,0
65,49,73,3
12,63,88,4
59,66,94,4
31,34,34,1
41,46,51,2
50,11,5,0
22,98,10,0
76,50,51,2
68,34,48,2
72,37,50,2
40,25,93,4
94,66,70,3
39,21,7,0
82,40,71,3
45,59,48,2
55,37,48,2
6,3,100,4
82,27,5,0
97,15,27,1
12,50,11,0
24,56,10,0
34,37,89,4
60,99,48,2
96,33,85,4
82,91,52,2
74,76,63,3
15,12,32,1
3,50,52,2
47,85,100,4
25,90,74,3
6,64,34,1
71,94,11,0
30,33,49,2
1,21,92,4
87,100,26,1
12,30,25,1
58,61,62,3
43,86,78,3
16,80,86,4
38,87,49,2
3,62,33,1
7,19,89,4
2,41,7,0
51,52,51,2
39,28,25,1
27,99,29,1
55,50,7,0
37,72,5,0
59,17,10,0
94,54,9,0
68,41,5,0
72,52,51,2
22,8,62,3
61,32,85,4
42,93,11,0
13,71,89,4
31,13,67,3
33,6,98,4
25,88,52,2
91,18,61,3
7,41,89,4
0,0,27,1
23,14,5,0
38,45,36,1
53,77,72,3
86,8,26,1
25,86,96,4
91,8,7,0
21,12,51,2
72,58,27,1
74,40,7,0
99,82,52,2
63,45,25,1
48,13,15,0
10,84,6,0
15,67,25,1
0,85,65,3
96,52,36,1
47,40,92,4
99,12,9,0
39,4,10,0
75,0,62,3
95,50,77,3
54,15,5,0
4,96,6,0
1,21,86,4
19,39,62,3
28,73,15,0
67,60,63,3
57,90,48,2
9,72,29,1
91,37,49,2
25,78,48,2
95,3,48,2
18,100,28,1
33,68,88,4
50,65,36,1
39,3,48,2
55,18,8,0
91,41,34,1
100,36,92,4
32,99,11,0
17,59,94,4
64,5,68,3
92,8,89,4
16,46,88,4
28,25,51,2
100,12,34,1
79,44,36,1
86,30,93,4
62,58,76,3
10,93,50,2
51,62,34,1
46,95,71,3
44,60,24,1
51,27,62,3
33,15,64,3
69,71,51,2
19,44,72,3
69,11,8,0
75,98,28,1
74,44,35,1
78,83,49,2
9,83,8,0
95,71,52,2
14,31,97,4
6,78,61,3
29,7,90,4
47,87,31,1
1,26,35,1
85,94,52,2
17,29,49,2
44,30,79,3
64,18,29,1
16,44,36,1
81,29,51,2
98,20,65,3
50,46,32,1
39,59,7,0
90,94,75,3
25,26,52,2
44,87,66,3
65,89,31,1
95,36,11,0
38,72,100,4
50,29,100,4
97,96,48,2
8,0,49,2
82,55,71,3
71,56,25,1
52,49,51,2
8,76,61,3
50,55,87,4
4,67,36,1
40,61,10,0
28,63,32,1
35,15,68,3
66,54,98,4
46,79,48,2
72,25,88,4
22,55,50,2
17,36,6,0
28,74,6,0
53,79,99,4
28,93,36,1
100,33,36,1
71,1,65,3
22,25,25,1
72,82,33,1
8,69,52,2
